model,recall@1,recall@5,recall@10,recall@50
ALS,0.018864735902401997,0.049009217131419466,0.0672664930144124,0.131865608669948
EASE,0.02777904946377655,0.08155760580990544,0.11798397466385498,0.2522063806892595
SLIM,0.02789048894760507,0.08644750440383292,0.12724445510199936,0.28588969585286655
