model,ndcg@1,ndcg@5,ndcg@10,ndcg@50
ALS,0.018362379938285017,0.07996699484277252,0.11172715210962168,0.15183303346103366
EASE,0.02388920277572544,0.10795277688804097,0.1492266710644615,0.2010768441383877
SLIM,0.024743940776797486,0.1095067469353865,0.1505944676732355,0.20066574336794454
