model,recall@1,recall@5,recall@10,recall@50
ALS,0.008756147784864984,0.03877012913704067,0.06909538824272463,0.23137662033991724
EASE,0.008957217435390748,0.03985310778701212,0.07146195295071026,0.22889674126762752
SLIM,0.010040613106260718,0.03973311839515687,0.07274041113197523,0.24079870668925968
