model,ndcg@1,ndcg@5,ndcg@10,ndcg@50
ALS,0.01798522450150624,0.02730700059867638,0.027415051686995522,0.028532301116164907
EASE,0.031236551427341844,0.049747613433044915,0.05088594578917439,0.051284626116714235
SLIM,0.031631042891981064,0.053671580748042916,0.05506708651525017,0.05545784717138359
