model,recall@1,recall@5,recall@10,recall@50
ALS,0.012149000063202992,0.04970034064913703,0.07380885822017276,0.2572578653731742
EASE,0.013455319370049538,0.05603040372949929,0.09879136154416956,0.30904169879119303
SLIM,0.014004023947987403,0.056926820272716804,0.09893287801985795,0.3063424229630574
