model,ndcg@1,ndcg@5,ndcg@10,ndcg@50
ALS,0.014742421732648666,0.07570192877792846,0.11457811632757724,0.15656222703012007
EASE,0.01540500248467782,0.07611079350653739,0.11243208940517796,0.16656222800053605
SLIM,0.015901938048699684,0.08286818070970338,0.1222132174807048,0.17614718955867834
